posting_id,job_category_kor,posting_title_j,posting_tech_stack,education_j,education_s,employment_type,position,company_keywords_jumpit,company_tech_stack,company_type,industry,exp_min,exp_max,edu_category,start_datetime,end_datetime,posting_views_total,applicants_total,company_name,salary_info_reliability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
51735669,SW/솔루션;HW/임베디드,기술연구소 연구개발직 경력 채용,HW;SW;C,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",매출액 100억 기업;5호선 역세권 기업,C;SW;HW,중소기업;외부감사법인;연구소;병역특례 인증업체;수출입 기업,승강기 제조업,1,10,초대졸(예정),2025.09.04 00:00,2025.10.03 23:59,83,1,(주)금영제너럴,매우높음,3174,3229,3305,3418.75,3518.5,3631.75,3758.5,3885.25,4033.5,4189,4348.75,4506.25,4652.5,4787.25,4913.25,5039,5172,5314.5,5388,6419.83,6513.91
51735674,SW/솔루션;HW/임베디드,기술연구소 연구개발직 신입 채용,HW;SW;C,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",매출액 100억 기업;5호선 역세권 기업,C;SW;HW,중소기업;외부감사법인;연구소;병역특례 인증업체;수출입 기업,승강기 제조업,1,10,초대졸(예정),2025.09.04 00:00,2025.10.03 23:59,87,3,(주)금영제너럴,매우높음,3174,3229,3305,3418.75,3518.5,3631.75,3758.5,3885.25,4033.5,4189,4348.75,4506.25,4652.5,4787.25,4913.25,5039,5172,5314.5,5388,6419.83,6513.91
51617193,프론트엔드 개발자,프론트 개발자 시니어,React;ReactNative;TypeScript;Git;Node.js;Infra;CreateReactNativeApp,무관,학력무관,정규직,"",급성장중;2호선 역세권 기업;점심지원,TypeScript;Git;Infra;Create React Native App;Node.js;React Native;React,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,5,7,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.21 00:00,2025.09.19 23:59,147,13,(주)낭만상회,매우낮음,2954.25,3011.75,3096.75,3226.5,3355,3502.25,3663.75,3819.75,3987.25,4154.25,4322.25,4490.75,4655,4812.5,4968.25,5134,5317.75,5514.25,5617.33,6680.83,6777.18
51617223,프론트엔드 개발자,프론트 개발자,React;ReactNative;TypeScript;Git;Node.js;Infra;CreateReactNativeApp,무관,학력무관,정규직,"",급성장중;2호선 역세권 기업;점심지원,TypeScript;Git;Infra;Create React Native App;Node.js;React Native;React,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,3,5,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.21 00:00,2025.09.19 23:59,315,76,(주)낭만상회,매우낮음,2954.25,3011.75,3096.75,3226.5,3355,3502.25,3663.75,3819.75,3987.25,4154.25,4322.25,4490.75,4655,4812.5,4968.25,5134,5317.75,5514.25,5617.33,6680.83,6777.18
51689833,SW/솔루션;인공지능/머신러닝;빅데이터 엔지니어;블록체인,AI 서비스 백엔드 개발자(3년 이상),Python;Linux;TensorFlow;PyTorch;AI/인공지능;DeepLearning,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,"",매출액 100억 기업;재택근무;4호선 역세권 기업,C#;AI/인공지능;C;DeepLearning;Mfc;HW;QA;REST API;Unreal Engine;PyTorch;Confluence;3D Rendering;Solidworks;TCP/IP;GUI;NestJS;ExpressJS;Python;TensorFlow;C++;SW;Autocad;2D Rendering;React;Orcad;Jira;PCB;SQL;Git;Linux,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,3,10,대졸(예정),2025.09.04 00:00,2025.10.03 23:59,146,,(주)네비웍스,높음,3326.25,3387,3468.75,3585.5,3688,3803,3934.5,4066.5,4215,4364.75,4519.75,4684.25,4854.5,5028.25,5204.5,5390.75,5593.5,5812.75,5927,7223.42,7341.45
51689853,QA 엔지니어,Software Quality Assurance,SW;QA;Jira;Confluence;HW,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,"",매출액 100억 기업;재택근무;4호선 역세권 기업,C#;AI/인공지능;C;DeepLearning;Mfc;HW;QA;REST API;Unreal Engine;PyTorch;Confluence;3D Rendering;Solidworks;TCP/IP;GUI;NestJS;ExpressJS;Python;TensorFlow;C++;SW;Autocad;2D Rendering;React;Orcad;Jira;PCB;SQL;Git;Linux,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,6,10,대졸(예정),2025.09.04 00:00,2025.10.03 23:59,59,1,(주)네비웍스,높음,3326.25,3387,3468.75,3585.5,3688,3803,3934.5,4066.5,4215,4364.75,4519.75,4684.25,4854.5,5028.25,5204.5,5390.75,5593.5,5812.75,5927,7223.42,7341.45
51627629,프론트엔드 개발자,프론트엔드 개발자 채용,JavaScript;TypeScript;RESTAPI;Git;GitHub,무관,학력무관,정규직,"",4호선 역세권 기업;점심지원;간식 제공,C++;GitHub;MachineLearning;Spring;iOS;Jira;Kotlin;TypeScript;REST API;Git;OpenCV;JavaScript;TCP/IP;Flutter;Android OS;Dart,중소기업;주식회사;수출입 기업,그 외 기타 특수목적용 기계 제조업,2,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.24 00:00,2025.09.22 23:59,138,41,(주)네일톡톡,낮음,4192.5,4275.75,4397,4574.25,4738,4913.5,5099,5275.5,5470.25,5660,5846.25,6029.75,6206.25,6378.75,6550.25,6728.5,6919.75,7120,7224,8338.58,8439.82
51627639,HW/임베디드,스튜디오 시스템 엔지니어 채용,Flutter;C++;Git;GitHub,무관,학력무관,정규직,"",4호선 역세권 기업;점심지원;간식 제공,C++;GitHub;MachineLearning;Spring;iOS;Jira;Kotlin;TypeScript;REST API;Git;OpenCV;JavaScript;TCP/IP;Flutter;Android OS;Dart,중소기업;주식회사;수출입 기업,그 외 기타 특수목적용 기계 제조업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.24 00:00,2025.09.22 23:59,61,1,(주)네일톡톡,낮음,4192.5,4275.75,4397,4574.25,4738,4913.5,5099,5275.5,5470.25,5660,5846.25,6029.75,6206.25,6378.75,6550.25,6728.5,6919.75,7120,7224,8338.58,8439.82
51728586,HW/임베디드,"윈도우 제어, 임베디드 시스템 개발자 모집",C++;Dart;Git;Jira;TCP/IP,무관,학력무관,정규직,"",4호선 역세권 기업;점심지원;간식 제공,C++;GitHub;MachineLearning;Spring;iOS;Jira;Kotlin;TypeScript;REST API;Git;OpenCV;JavaScript;TCP/IP;Flutter;Android OS;Dart,중소기업;주식회사;수출입 기업,그 외 기타 특수목적용 기계 제조업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.04 00:00,2025.10.03 23:59,36,1,(주)네일톡톡,낮음,4192.5,4275.75,4397,4574.25,4738,4913.5,5099,5275.5,5470.25,5660,5846.25,6029.75,6206.25,6378.75,6550.25,6728.5,6919.75,7120,7224,8338.58,8439.82
51624233,인공지능/머신러닝;SW/솔루션,리눅스 네트워크 프로그래머,Linux;Utm;C;TCP/IP;Git;C++,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","평균연봉 상위 10%;연봉상승률 15% 이상;급성장중;2호선 역세권 기업;유연근무제;평균연봉 7,000 이상;영업이익률 20% 이상",Java;C++;ApexCharts;C;IntelliJ IDEA;Spring Boot;Spring;React;Utm;TypeScript;REST API;Shell;Visual Studio Code;Swagger UI;Git;Linux;JavaScript;TCP/IP;GUI;Spring Security,중소기업,시스템 소프트웨어 개발 및 공급업,5,10,초대졸(예정),2025.08.26 00:00,2025.09.24 23:59,38,,(주)노아시스템즈,매우낮음,4656,4744.75,4872.25,5060.75,5236.75,5435.75,5664.5,5903,6180,6470.5,6768.5,7072.75,7377.25,7681,7987,8301.25,8625.75,8954,9122.33,10769.08,10918.27
51765704,서버/백엔드 개발자;DevOps/시스템 엔지니어,솔루션 백엔드(Backend) 개발,Java;Shell;Spring;SpringBoot;SpringSecurity;Linux;SwaggerUI,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","평균연봉 상위 10%;연봉상승률 15% 이상;급성장중;2호선 역세권 기업;유연근무제;평균연봉 7,000 이상;영업이익률 20% 이상",Java;C++;ApexCharts;C;IntelliJ IDEA;Spring Boot;Spring;React;Utm;TypeScript;REST API;Shell;Visual Studio Code;Swagger UI;Git;Linux;JavaScript;TCP/IP;GUI;Spring Security,중소기업,시스템 소프트웨어 개발 및 공급업,3,7,대졸(예정),2025.09.09 00:00,2025.10.08 23:59,116,11,(주)노아시스템즈,매우낮음,4656,4744.75,4872.25,5060.75,5236.75,5435.75,5664.5,5903,6180,6470.5,6768.5,7072.75,7377.25,7681,7987,8301.25,8625.75,8954,9122.33,10769.08,10918.27
